# Canonical 2025 OPFL regular-season schedule
Week 1: KAM versus D/J
Week 1: STL versus K/D
Week 1: KEV versus E/J
Week 1: W/B versus AND
Week 1: J/M versus ADA
Week 1: JOH versus G/G
Week 2: KAM versus STL
Week 2: D/J versus K/D
Week 2: KEV versus W/B
Week 2: E/J versus AND
Week 2: J/M versus JOH
Week 2: ADA versus G/G
Week 3: KAM versus K/D
Week 3: D/J versus KEV
Week 3: STL versus E/J
Week 3: W/B versus ADA
Week 3: AND versus JOH
Week 3: J/M versus G/G
Week 4: KAM versus KEV
Week 4: D/J versus E/J
Week 4: STL versus W/B
Week 4: K/D versus J/M
Week 4: AND versus G/G
Week 4: ADA versus JOH
Week 5: KAM versus E/J
Week 5: D/J versus W/B
Week 5: STL versus G/G
Week 5: K/D versus ADA
Week 5: KEV versus JOH
Week 5: AND versus J/M
Week 6: KAM versus W/B
Week 6: D/J versus AND
Week 6: STL versus J/M
Week 6: K/D versus G/G
Week 6: KEV versus ADA
Week 6: E/J versus JOH
Week 7: KAM versus AND
Week 7: D/J versus J/M
Week 7: STL versus ADA
Week 7: K/D versus JOH
Week 7: KEV versus G/G
Week 7: E/J versus W/B
Week 8: KAM versus J/M
Week 8: D/J versus ADA
Week 8: STL versus JOH
Week 8: K/D versus E/J
Week 8: KEV versus AND
Week 8: W/B versus G/G
Week 9: KAM versus ADA
Week 9: D/J versus JOH
Week 9: STL versus AND
Week 9: K/D versus KEV
Week 9: W/B versus J/M
Week 9: E/J versus G/G
Week 10: KAM versus JOH
Week 10: D/J versus G/G
Week 10: STL versus KEV
Week 10: K/D versus W/B
Week 10: E/J versus J/M
Week 10: AND versus ADA
Week 11: KAM versus G/G
Week 11: D/J versus STL
Week 11: K/D versus AND
Week 11: KEV versus J/M
Week 11: E/J versus ADA
Week 11: W/B versus JOH
Week 12: KAM versus D/J
Week 12: STL versus K/D
Week 12: KEV versus E/J
Week 12: W/B versus AND
Week 12: J/M versus ADA
Week 12: JOH versus G/G
Week 13: KAM versus STL
Week 13: D/J versus K/D
Week 13: KEV versus W/B
Week 13: E/J versus AND
Week 13: J/M versus JOH
Week 13: ADA versus G/G
Week 14: KAM versus K/D
Week 14: D/J versus KEV
Week 14: STL versus E/J
Week 14: W/B versus ADA
Week 14: AND versus JOH
Week 14: J/M versus G/G
Week 15: KAM versus KEV
Week 15: D/J versus E/J
Week 15: STL versus W/B
Week 15: K/D versus J/M
Week 15: AND versus G/G
Week 15: ADA versus JOH
